"Area","Road","StartDate","EndDate","Notes"
"Colliers Wood","Robinson Road","2026-07-06","2026-07-10","Road closure at junction with High Street Colliers Wood for ducting and signage connections"
"Mitcham","Carshalton Road","2026-07-06","2026-07-07","Road closure from Cranmer Road to Croydon Road for carriageway resurfacing"
"Mitcham","De'arn Gardens","2026-03-02","2026-04-13","Road closure for gas main replacement works"
"Mitcham","Hertford Way","2026-04-01","2026-04-08","Road closure at junction with Yorkshire Road for burst water main repairs"
"Mitcham","Kings Road","2026-04-02","2026-04-10","Road closure outside 5 for leaking valve repairs"
"Mitcham","Locks Lane","2026-06-01","2026-06-05","Multi-way lights at junction with Firtree Avenue for link box and network upgrade"
"Mitcham","Oakwood Avenue","2026-06-05","2026-06-05","Road closure for carriageway resurfacing works"
"Mitcham","Pear Tree Close","2026-03-30","2026-04-20","Road closure for gas main replacement works"
"Mitcham","Riverside Drive","2026-04-13","2026-04-17","Road closure outside 47 for new water connection"
"Mitcham","Russell Road","2026-04-21","2026-04-27","Road closure outside 15 for reinstatement activities"
"Mitcham","Streatham Road","2026-04-01","2026-04-16","Multi-way lights at junction with Links Road for pressure valves and meters installation on water main"
"Mitcham","Taffy's How","2026-03-30","2026-04-27","Road closure for gas main replacement works"
"Mitcham","Tamworth Lane","2026-05-25","2026-06-26","Multi-way lights for gas mains replacement between Cedars Avenue and Barnfield Avenue"
"Mitcham","Tamworth Lane","2026-07-22","2026-07-25","Road closure from Grove Road to Cedars Avenue for carriageway resurfacing"
"Mitcham","Upper Green West","2026-05-13","2026-05-14","Road closure outside Kings Arm Public House for granite setts repairs"
"Mitcham","Walnut Tree Avenue","2026-03-02","2026-04-13","Road closure for gas main replacement works"
"Mitcham","Wates Way","2026-04-16","2026-04-22","Two-way lights outside 2 for power disconnection"
"Mitcham","Westfield Road","2026-03-30","2026-06-08","Road closure for gas main replacement works"
"Mitcham","Wide Way","2026-07-07","2026-07-10","Road closure from Manor Road to Sherwood Park Road for carriageway resurfacing"
"Morden","Claymore Close","2026-04-30","2026-05-01","Road closure for carriageway resurfacing works"
"Morden","Eastway","2026-05-08","2026-05-29","Multi-way lights for gas main replacement works"
"Morden","Farm Road","2026-05-26","2026-05-28","Road closure for carriageway resurfacing works"
"Morden","Green Lane","2026-05-04","2026-05-07","Temporary traffic lights outside St Helier Station to Yenston Close for telecoms pole repairs"
"Morden","Leominster Road","2026-06-01","2026-06-01","Road closure for carriageway resurfacing works"
"Morden","Litchfield Avenue","2026-05-05","2026-05-06","Road closure for carriageway resurfacing works"
"Morden","Lower Morden Lane","2026-07-20","2026-07-21","Road closure between Garth Road and Beverley Roundabout for carriageway resurfacing"
"Morden","Morden Road","2026-04-13","2026-05-01","Multi-way lights at Deer Park Gardens and Ravensbury Grove for construction of a signalised junction"
"Morden","Rustington Walk","2026-05-05","2026-05-06","Road closure for carriageway resurfacing works"
"Morden","Salcombe Drive","2026-05-11","2026-07-20","Road closure to facilitate storage and compound for gas mains replacement works"
"Morden","Seddon Road","2026-06-08","2026-06-10","Road closure for carriageway resurfacing works"
"Morden","Sheridan Road","2026-04-28","2026-04-29","Road closure at junction with Dorset Road to replace damaged valves and install new equipment"
"Morden","The Green","2026-05-08","2026-05-29","Multi-way lights between Cannon Hill Lane and Eastway for gas main replacement works"
